Unit,Name
ACCT1101,Financial Accounting Standard
ACCT2112,Management Accounting Standard
ACCT2201,Corporate Accounting Standard
ACCT2331,Taxation Standard
ACCT3203,Contemporary Managerial Accounting Standard
ACCT3302,Financial Statement Analysis Standard
ACCT3322,Auditing Standard
ACCT4440,Management Accounting: Issues and Perspectives Standard
ACCT4471,Advanced Accounting Research Standard
ACCT4472,Contemporary Issues in Accounting Standard
ACCT5432,Introductory Financial Accounting Standard
ACCT5511,Intermediate Corporate Financial Accounting Standard
ACCT5521,Advanced Corporate Financial Accounting Standard
ACCT5522,Principles of Auditing Standard
ACCT5531,Financial Accounting: Theory and Practice Standard
ACCT5602,Accounting
ACCT5633,Accounting for Planning and Control Standard
AGRI4401,Advanced Crop Production Science
AGRI4402,Agribusiness
AGRI4403,Animal Reproduction
AGRI4404,Breeding and Animal Biotechnology
AGRI4405,Breeding and Plant Biotechnology
AGRI4407,Plant and Human Nutrition CRAWLEY
AGRI5501,Advanced Breeding and Biotechnology in Action 1 Standard
AGRI5502,Case Studies in Breeding and Biotechnology
AGRI5508,Sustainable Grazing Systems
AHEA2201,Aboriginal Health and Wellbeing Standard
AHEA2202,Aboriginal Health Context and Application Standard
AHEA2203,Advanced Human Biological Sciences I Standard
AHEA2204,Advanced Human Biological Sciences II Standard
AHEA2205,Human Sciences Research Project Standard
AHEA5755,Aboriginal Health
ANHB0035,Human Biology 2 Standard
ANHB1102,Human Biology II: Being Human Standard
ANHB2214,Human Organs and Systems Standard
ANHB2216,Human Reproductive Biology Standard
ANHB3310,Human Biology: Applications & Investigations I Standard
ANHB3316,Human Reproduction Standard
ANHB3320,Human Biology: Applications & Investigations II Standard
ANHB3321,Biological Anthropology: Genes and Society Standard
ANHB4103,Normal Systems I Standard
ANIM2207,Animal Function and Structure Standard
ANIM2208,Animal Ethics and Welfare Standard
ANIM2209,Field Studies in Zoology
ANIM3306,Clean Green and Ethical Animal Production Standard
ANIM3353,Wildlife Conservation and Management Standard
ANIM3361,Animal Populations Standard
ANIM3362,Evolutionary Processes Standard
ANIM3363,Environmental Physiology Standard
ANIM3365,Behavioural Ecology Standard
ANIM5501,Vertebrate Development
ANTH1001,Being Human: Culture Identity and Society Standard
ANTH1002,Global Change Local Responses Standard
ANTH2001,Social Thought Standard
ANTH2406,Society Law and Politics Standard
ANTH2407,Australian Society Standard
ANTH2801,Refugees Human Rights Violence and Fear Standard
ANTH2902,Aboriginal Art Standard
ANTH3001,Advanced Qualitative Methods: Ethnography Standard
ANTH3402,Contemporary Social Thought Standard
ANTH3501,Mind Body Culture Standard
ANTH3701,Environment Landscape and Place Standard
APHB5503,Neuroendocrinology Standard
APHB5505,Advanced Studies in Physiology Standard
ARCT1010,Drawing History Standard
ARCT1030,Structures and Natural Systems Standard
ARCT2010,Parallel Modernities in Art and Architecture Standard
ARCT2030,Materials and Small Constructions Standard
ARCT2050,Environmental Design Standard
ARCT3000,Architecture Studio 3 Standard
ARCT3010,History and Theories of the Built Environment Standard
ARCT3030,Construction Standard
ARCT4430,Architectural Technology Structures and Services Standard
ARCT4440,Project Implementation and Documentation Standard
ARCT5001,Architectural Design 5a Standard
ARCT5509,Practical building conservation - Developed Research Project on a Building Construction System Standard
ARCT5589,Architecture of Furniture Standard
ARCY1001,Discoveries in Archaeology Standard
ARCY1002,Archaeology Today: Principles and Themes Standard
ARCY2005,Rock Art Field Unit
ARCY3002,Archaeological Field Methods Standard
ARCY3003,Archaeological Laboratory Methods Standard
ARCY3005,Archaeology of Indigenous Australia Standard
ARCY3008,Archaeological Method and Theory Standard
ASIA1001,Exploring Asian Identities Standard
ASIA1002,Creating Asian Modernities Standard
ASIA2001,Culture Society and the State in Asia HK-ARTS
ASIA2004,Popular Culture in Asia HK-ARTS
ASIA3001,Indonesian Politics and Culture Standard
ASIA3002,Issues in Japanese Society and Culture Standard
ASIA3003,Social Issues in Contemporary China Standard
AUST0062,Foundations Of Uni Study 2 Standard
AUST0072,Elective Study 2 Standard
BIOC2001,Biochemistry and Molecular Biology of the Cell Standard
BIOC3002,Structural and Functional Biochemistry Standard
BIOC3004,Biochemistry in Health and Disease Standard
BIOC3005,Cellular Biochemistry Standard
BIOL2261,Conservation Biology Standard
BIOL5503,Sampling Techniques in Wildlife Research Standard
BUSN1102,Changing the World: Social Innovation Finance and Enterprise Standard
BUSN3020,Innovation and Startup Practice Standard
BUSN4401,Qualitative Business Research Methods Standard
BUSN4402,Quantitative Business Research Methods Standard
BUSN5501,Business Advisory Project Part 1
BUSN5502,Business Advisory Project Part 2
BUSN5503,Business Advisory Project Part 3
CELT1111,Academic English Bridging Course: Part 1 CELT Bridging Course
CELT1112,Academic English Bridging Course: Part 2 CELT Bridging Course
CELT1113,Academic English Summer Bridging Course: Part 2 CELT Summer Bridging Course
CHEM0037,Chemistry 2 Standard
CHEM1001,Chemistry - Properties and Energetics Standard
CHEM1002,Chemistry - Structure and Reactivity Standard
CHEM1003,Introductory Chemistry Standard
CHEM1004,Biological Chemistry Standard
CHEM2001,Core Chemical Concepts and Techniques Standard
CHEM2002,Physical and Analytical Chemistry Standard
CHEM2003,Chemical Synthesis Standard
CHEM3001,Essential Chemical Skills Standard
CHEM3002,Chemical Explorations Standard
CHEM3003,Advanced Chemical Synthesis Standard
CHEM3004,Synthetic Applications Standard
CHEM3005,Chemical Spectroscopy and Structure Standard
CHEM3006,Chemistry Beyond the Laboratory Standard
CHEM4309,Occupational Hygiene and Chemical Safety Standard
CHIN1001,Chinese 3A Standard
CHIN1401,Chinese 1 Standard
CHIN1402,Chinese 2 Standard
CHIN1403,Chinese 3 Standard
CHIN1404,Chinese 4 Standard
CHIN1405,Chinese 5 Standard
CHIN1406,Chinese 6 Standard
CHIN2407,Chinese 7 Standard
CHIN3409,Chinese 9 Standard
CHIN3410,Chinese 10 Standard
CHPR4404,Advanced Thermodynamics Standard
CHPR4405,Particle Mechanics and Solids Handling Standard
CHPR4406,Reaction Engineering Standard
CHPR5501,Advanced Reaction Engineering and Catalysts Standard
CHPR5520,Combustion Science and Technology
CHPR5521,Gas Processing 1 - Flow Assurance and Gathering Standard
CHPR5551,Chemical Engineering Design Project 1 Standard
CHPR5552,Chemical Engineering Design Project 2 Standard
CITS1001,Object-oriented Programming and Software Engineering Standard
CITS1401,Problem Solving and Programming Standard
CITS1402,Relational Database Management Systems Standard
CITS2002,Systems Programming Standard
CITS2200,Data Structures and Algorithms Standard
CITS2211,Discrete Structures Standard
CITS2401,Computer Analysis and Visualisation Standard
CITS3001,Algorithms Agents and Artificial Intelligence Standard
CITS3002,Networks and Security Standard
CITS3003,Graphics and Animation Standard
CITS3401,Data Warehousing and Data Mining Standard
CITS3402,High Performance Computing Standard
CITS3403,Agile Web Development Standard
CITS4401,Software Requirements and Design Standard
CITS4402,Computer Vision Standard
CITS4403,Computational Modelling Standard
CITS4404,Artificial Intelligence and Adaptive Systems Standard
CITS4419,Mobile and Wireless Computing Standard
CITS5501,Software Testing and Quality Assurance Standard
CITS5502,Software Processes Standard
CITS5503,Cloud Computing Standard
CITS5506,Ubiquitous Computing Standard
CIVL4401,Applied Geomechanics Standard
CIVL4402,Civil Hydraulics Standard
CIVL4403,Structural Concrete Standard
CIVL4404,Structural Steel Standard
CIVL5501,Structural Dynamics Standard
CIVL5502,Transportation Engineering Standard
CIVL5503,Underground Construction
CIVL5504,Offshore Geomechanics
CIVL5505,Introduction to Design of Offshore Systems Standard
CIVL5551,Civil Engineering Design Project 1 Standard
CIVL5552,Civil Engineering Design Project 2 Standard
CLAN1001,Myths of the Greeks and Romans: Story History and Reinvention Standard
CLAN1002,Glory and Grandeur Standard
CLAN1101,Latin 1 Standard
CLAN2001,The Golden Age of Athens Standard
CLAN2002,The Foundation of the Roman Empire Standard
COMM1002,Cultures New Media and Communications Standard
COMM1901,Communication in Practice Standard
COMM2001,Communication and Mass Media Standard
COMM2002,Digital Media HK-ARTS
COMM2002,Digital Media Standard
COMM3001,Case Studies in Communication Standard
COMM3002,Media Production Project Standard
COMM3004,Journalism in Practice Standard
COMM5605,Issues in Contemporary Global Journalism Standard
COMM5607,News Gathering: Technique and Timing Standard
COMM5701,Strategic Communications in a Digital Era
DENT4102,Anatomy and Physiology for Dentistry
DENT4103,Introduction to Clinical Dentistry
DENT4104,Introduction to Research and Preventive Dentistry
DENT4105,Introduction to Cariology
DENT4107,Introduction to Pain Control
DENT4201,Endodontics and Fixed Prosthodontics
DENT4202,Immunology Pathology and Periodontics
DENT4203,Child and Adolescent Oral Health 1
DENT4204,General Medicine and Surgery Pain Control and Exodontics
DENT4207,Child and Adolescent Oral Health 2
DENT4208,Exodontics and General Medicine
DENT5301,Microbiology Oral Pathology and Oral Medicine
DENT5302,Research Design Statistics and Dental Public Health
DENT5303,Complex Oral Rehabilitation 1
DENT5304,Child and Adolescent Comprehensive Oral Care 1 and Orthodontics
DENT5305,Special Needs Dentistry and Orofacial Pain
DENT5306,Introduction to Dental Practice Maxillofacial Infections and Trauma
DENT5307,Complex Oral Rehabilitation 2
DENT5308,Child and Adolescent Comprehensive Oral Care 2 and Research
DENT5401,Research and Professional Development 1 Group B
DENT5402,Integrated Dental Practice 1 Group B
DENT5404,Australian Indigenous Rural and Remote Oral Health 1 Group B
EART1104,Introduction to Geology Standard
EART2234,Earth Processes Standard
EART3338,Land Use and Management Standard
EART3339,Land Rehabilitation Standard
EART3343,Structural Geology and Tectonics Standard
EART3351,Mineral Resources Standard
EART3353,Geological Mapping Standard
EART3360,Soil-Plant Interactions Standard
EBUS5504,Electronic Business Standard
ECON1101,Microeconomics: Prices and Markets Standard
ECON1102,Macroeconomics: Money and Finance Standard
ECON1111,Quantitative Methods for Business and Economics Standard
ECON1120,Environmental Economics 1 Standard
ECON2105,Rise of the Global Economy Standard
ECON2224,Environmental Economics 2 Standard
